filename,class_id,tier
tier1/comp_sample_01.png,1,tier1
tier1/comp_sample_02.png,2,tier1
tier1/comp_sample_03.png,3,tier1
tier1/comp_sample_04.png,4,tier1
tier1/comp_sample_05.png,5,tier1
tier1/comp_sample_06.png,6,tier1
tier1/comp_sample_07.png,7,tier1
tier1/comp_sample_08.png,8,tier1
tier1/comp_sample_09.png,9,tier1
tier1/comp_sample_10.png,10,tier1
tier2/comp_sample_01.png,1,tier2
tier2/comp_sample_02.png,2,tier2
tier2/comp_sample_03.png,3,tier2
tier2/comp_sample_04.png,4,tier2
tier2/comp_sample_05.png,5,tier2
tier2/comp_sample_06.png,6,tier2
tier2/comp_sample_07.png,7,tier2
tier2/comp_sample_08.png,8,tier2
tier2/comp_sample_09.png,9,tier2
tier2/comp_sample_10.png,10,tier2
tier3/comp_sample_01.png,1,tier3
tier3/comp_sample_02.png,2,tier3
tier3/comp_sample_03.png,3,tier3
tier3/comp_sample_04.png,4,tier3
tier3/comp_sample_05.png,5,tier3
tier3/comp_sample_06.png,6,tier3
tier3/comp_sample_07.png,7,tier3
tier3/comp_sample_08.png,8,tier3
tier3/comp_sample_09.png,9,tier3
tier3/comp_sample_10.png,10,tier3
extra_hard/comp_sample_01.png,1,extra_hard
extra_hard/comp_sample_02.png,2,extra_hard
extra_hard/comp_sample_03.png,3,extra_hard
extra_hard/comp_sample_04.png,4,extra_hard
extra_hard/comp_sample_05.png,5,extra_hard
extra_hard/comp_sample_06.png,6,extra_hard
extra_hard/comp_sample_07.png,7,extra_hard
extra_hard/comp_sample_08.png,8,extra_hard
extra_hard/comp_sample_09.png,9,extra_hard
extra_hard/comp_sample_10.png,10,extra_hard
